,Code,Location,City,State,lat,lon
285,38860,"Portland-South Portland, ME",Portland,ME,43.6606,-70.2589
286,40900,"Sacramento--Arden-Arcade-Roseville, CA",Sacramento,CA,38.3805,-121.5554
287,11460,"Ann Arbor, MI",Ann Arbor,MI,42.2794,-83.784
288,26900,"Indianapolis, IN",Indianapolis,IN,39.775,-86.1093
289,33140,"Michigan City-La Porte, IN",Michigan City,IN,41.698,-86.8699
290,36420,"Oklahoma City, OK",Oklahoma City,OK,35.3513,-97.4953
291,22020,"Fargo, ND-MN",Fargo,ND,46.8907,-96.9258
292,13780,"Binghamton, NY",Binghamton,NY,42.1463,-75.8865
293,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE",Philadelphia,PA,40.6754,-76.1558
294,14020,"Bloomington, IN",Bloomington,IN,39.1401,-86.5083
295,14460,"Boston-Cambridge-Newton, MA-NH",Boston,MA,42.3706,-71.027
296,17780,"College Station-Bryan, TX",College Station,TX,30.6045,-96.3123
297,21140,"Elkhart-Goshen, IN",Elkhart,IN,41.7101,-85.9729
298,27260,"Jacksonville, FL",Jacksonville,FL,30.3375,-81.7686
299,42220,"Santa Rosa-Petaluma, CA",Santa Rosa,CA,38.4432,-122.7547
300,49620,"York, PA",York,PA,40.1222,-76.7737
301,16740,"Charlotte-Concord-Gastonia, NC-SC",Charlotte,NC,35.26,-80.8042
302,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,CA,33.9731,-118.2479
303,34060,"Morgantown, WV",Morgantown,WV,39.6099,-79.9831
304,38220,"Pine Bluff, AR",Pine Bluff,AR,34.209,-91.9859
305,22140,"Farmington, NM",Farmington,NM,36.7412,-108.1797
306,24660,"Greensboro-High Point, NC",Greensboro,NC,36.0446,-79.8596
307,29620,"Lansing-East Lansing, MI",Lansing,MI,42.7388,-84.4764
308,32900,"Merced, CA",Merced,CA,37.2983,-120.4649
309,38300,"Pittsburgh, PA",Pittsburgh,PA,40.4036,-79.8389
310,25860,"Hickory-Morganton-Lenoir, NC",Hickory,NC,35.7576,-81.3289
311,28940,"Knoxville, TN",Knoxville,TN,36.0323,-83.8848
312,14740,"Bremerton-Silverdale, WA",Bremerton,WA,47.6019,-122.6299
313,15940,"Canton-Massillon, OH",Canton,OH,40.7824,-81.3712
314,38060,"Phoenix-Mesa-Scottsdale, AZ",Phoenix,AZ,33.704,-112.3518
315,39900,"Reno-Sparks, NV",Reno,NV,39.5268,-119.8113
316,13460,"Bend-Redmond, OR",Bend,OR,43.4327,-124.2131
317,21780,"Evansville, IN-KY",Evansville,IN,37.9971,-87.575
318,39540,"Racine, WI",Racine,WI,42.7272,-87.676
319,48140,"Wausau, WI",Wausau,WI,45.3495,-87.9099
320,16300,"Cedar Rapids, IA",Cedar Rapids,IA,41.9743,-91.6554
321,39820,"Redding, CA",Redding,CA,40.5605,-122.4116
