"","Player","Year","Pos","Age","AV","School","Height","X40YD","Vertical","BenchReps","Broad.Jump","X3Cone","Shuttle","Drafted","From","To","Rushing.TD","Rushing.Yards.per.Game","ReceivingTD","Receiving.Yards.per.Game","Ctch.","Total.TD","Offensive.Yards.per.Game"
"40","Brad Smith",2006,"WR",22,20,"Missouri",74,44.6,39.5,NA,128,70,43.3,103,2006,2014,4,7.7,5,7.8,54.7,9,15.5
"41","Brandin Cooks",2014,"WR",20,73,"Oregon State",70,43.3,36,16,120,67.6,38.1,20,2014,2021,2,2.5,46,66.5,65.8,48,69
"42","Brandon Gibson",2009,"WR",21,19,"Washington State",72,45.9,NA,NA,NA,NA,NA,194,2009,2014,0,0.6,13,35.7,57.2,13,36.3
"43","Brandon Jones",2005,"WR",22,12,"Oklahoma",73,44.2,37,NA,114,70.3,40.8,96,2005,2009,0,1.3,9,23.7,56.2,9,25
"44","Brandon LaFell",2010,"WR",23,50,"LSU",74,45.8,36,NA,115,68.1,42.3,78,2010,2018,0,1,31,43.2,58.1,31,44.2
"45","Brandon Marshall",2006,"WR",21,103,"Central Florida",64,45.2,37,NA,120,NA,NA,119,2006,2018,0,0.7,83,69,58.9,83,69.7
"46","Brandon Tate",2009,"WR",21,17,"North Carolina",72,45.2,NA,NA,NA,NA,NA,83,2009,2018,0,1.1,7,8.7,54.6,7,9.8
"47","Brandon Williams",2006,"WR",22,0,"Wisconsin",69,44.8,34.5,NA,115,68.7,40.7,84,2006,2007,0,0,0,0,0,0,0
"48","Braxton Berrios",2018,"WR",22,9,"Miami (FL)",69,NA,NA,11,NA,NA,NA,210,2019,2021,2,1.4,5,19.6,66.9,7,21
"49","Braxton Miller",2016,"WR",23,2,"Ohio State",73,45,35,17,123,66.5,40.7,85,2016,2017,0,0,2,12.4,59.6,2,12.4
"50","Braylon Edwards",2005,"WR",22,46,"Michigan",75,44.5,NA,NA,NA,NA,NA,3,2005,2012,0,0.1,40,49.3,48.4,40,49.4
"51","Breshad Perriman",2015,"WR",21,16,"Central Florida",74,NA,NA,NA,NA,NA,NA,26,2016,2021,0,0.3,15,32.4,49.8,15,32.7
"52","Brian Hartline",2009,"WR",22,36,"Ohio State",74,44.9,34.5,NA,120,66.5,41.2,108,2009,2015,1,0.6,14,45.8,57.4,15,46.4
"53","Brian Quick",2012,"WR",22,12,"Appalachian State",75,45,34,15,119,71,42.3,33,2012,2018,0,0,10,19,51.6,10,19
"54","Brian Robiskie",2009,"WR",21,3,"Ohio State",75,44.6,37.5,NA,NA,67.2,41.9,36,2009,2013,0,0,4,12.8,50.6,4,12.8
"55","Bruce Ellington",2014,"WR",22,7,"South Carolina",69,44.5,39.5,15,120,66.9,39.5,106,2014,2018,1,1.2,5,17.5,60.8,6,18.7
"56","Calvin Johnson",2007,"WR",21,94,"Georgia Tech",77,43.5,NA,NA,NA,NA,NA,2,2007,2015,1,1.2,83,86.1,55.7,84,87.3
"57","Calvin Ridley",2018,"WR",23,27,"Alabama",72,44.3,31,15,110,68.8,44.1,26,2018,2021,0,1.3,28,68.2,65.3,28,69.5
"58","Carlos Francis",2004,"WR",23,0,"Texas Tech",69,43.3,38.5,NA,114,69.7,40.6,99,2004,2004,0,0,0,0,NA,0,0
"59","Carlton Mitchell",2010,"WR",21,0,"South Florida",75,44.6,36,16,122,69.6,45.5,177,2010,2011,0,0.6,0,1.9,60,0,2.5
"60","Cecil Shorts",2011,"WR",23,20,"Mount Union",72,45,34.5,21,114,65,40.7,114,2011,2016,0,0.6,14,42.6,50.7,14,43.2
"61","Cedric James",2001,"WR",21,0,"TCU",74,44.9,43,NA,134,NA,NA,131,2002,2002,0,0,0,5.8,50,0,5.8
"62","Cedrick Wilson",2018,"WR",22,6,"Boise State",74,45.5,37,9,121,68.9,42.3,208,2001,2007,0,0.5,8,23.7,55.3,8,24.2
"63","Cedrick Wilson",2001,"WR",22,25,"Tennessee",70,44.8,38,NA,123,NA,NA,169,2001,2007,0,0.5,8,23.7,55.3,8,24.2
"64","Chad Hansen",2017,"WR",22,3,"California",74,45.3,35,11,119,67.4,41.3,141,2017,2020,0,0,1,16.5,63.4,1,16.5
"65","Chad Jackson",2006,"WR",21,2,"Florida",73,43.2,38.5,NA,122,67.3,39.7,36,2006,2008,0,1.2,3,9.5,70,3,10.7
"66","Chad Johnson",2001,"WR",23,103,"Oregon State",73,45.7,33,NA,108,75.1,41.4,36,2001,2011,0,1.1,67,66.6,55.8,67,67.7
"67","Chad Owens",2005,"WR",22,0,"Hawaii",67,46.2,37,NA,116,67,39.4,185,2005,2007,0,0,0,0,0,0,0
"68","Chansi Stuckey",2007,"WR",23,10,"Clemson",71,45.6,35,NA,120,69.1,41.4,235,2008,2011,1,0.3,5,19.3,58.2,6,19.6
"69","Charles Lee",2000,"WR",22,7,"Central Florida",73,45.6,35.5,NA,125,73,42.5,242,2000,2005,0,0.3,3,21.8,64.9,3,22.1
"70","Charles Rogers",2003,"WR",21,4,"Michigan State",74,44,NA,NA,NA,NA,NA,2,2003,2005,0,1.1,4,29.3,42.9,4,30.4
"71","Charone Peake",2016,"WR",23,1,"Clemson",74,44.5,35.5,12,122,69.6,44.6,241,2016,2018,0,0,0,6.9,56.4,0,6.9
"72","Chris Chambers",2001,"WR",22,71,"Wisconsin",72,43.3,45,NA,134,NA,40,52,2001,2010,0,2.4,58,50,48.7,58,52.4
"73","Chris Cole",2000,"WR",22,1,"Texas A&M",72,43.7,37.5,NA,125,67.6,40.9,70,2000,2003,0,0.2,0,4.7,44.4,0,4.9
"74","Chris Conley",2015,"WR",22,24,"Georgia",74,43.5,45,18,139,70.6,43,76,2015,2021,0,0,15,28.1,59.5,15,28.1
"75","Chris Davis",2007,"WR",23,0,"Florida State",70,45,35.5,NA,115,66.6,41.4,128,2003,2003,0,0,0,0,NA,0,0
"76","Chris Davis",2007,"WR",23,0,"Florida State",70,45,35.5,NA,115,66.6,41.4,128,2007,2008,0,1.1,0,4.1,58.3,0,5.2
"77","Chris Givens",2012,"WR",22,13,"Wake Forest",71,43.5,33.5,19,118,69.7,42.3,96,2012,2015,0,0.7,5,29.7,45.1,5,30.4
"78","Chris Godwin",2017,"WR",21,38,"Penn State",73,44.2,36,19,126,70.1,40,84,2017,2021,1,0.4,29,64.5,71,30,64.9
"79","Chris Harper",2013,"WR",23,0,"Kansas State",73,45.5,35.5,20,116,68.9,43.9,123,2013,2013,0,0,0,0,NA,0,0
